"POS","A","D","F","L","MP","P","Team","W","Group"
1,14,14,28,1,15,32,"Santos",9,"A"
2,11,10,21,2,15,27,"Sao Bento",7,"A"
3,19,2,21,3,15,20,"Linense",4,"A"
4,14,1,15,4,15,19,"Botafogo SP",4,"A"
5,19,-6,13,8,15,13,"Oeste",3,"A"
1,17,8,25,5,15,24,"Palmeiras",7,"B"
2,21,1,22,4,15,23,"Sao Bernardo FC",6,"B"
3,16,6,22,5,15,22,"Ponte Preta",6,"B"
4,19,0,19,5,15,22,"Ituano",6,"B"
5,21,3,24,4,15,21,"Novorizontino",5,"B"
1,21,4,25,5,15,24,"Osasco Audax",7,"C"
2,14,3,17,5,15,22,"Sao Paulo",6,"C"
3,21,-2,19,8,15,17,"Ferroviaria",5,"C"
4,19,-7,12,6,15,15,"XV de Piracicaba",3,"C"
5,34,-17,17,9,15,10,"Capivariano",2,"C"
1,8,18,26,2,15,35,"Corinthians",11,"D"
2,22,2,24,7,15,22,"RB Brasil",7,"D"
3,28,-12,16,7,15,16,"Agua Santa",4,"D"
4,23,-11,12,8,15,15,"Mogi Mirim",4,"D"
5,26,-17,9,10,15,9,"Rio Claro",2,"D"
