team_1,team_2,score,manager_1,manager_2,season,game_week
Juventude RS,Paraná Clube,1:0 (1:0),Manager:   Hélio dos Anjos,Manager:   Caio Júnior,2006,1
Vasco da Gama,Internacional,1:1 (0:0),Manager:   Renato Gaúcho,Manager:   Abel Braga,2006,1
Grêmio Porto Alegre,Corinthians SP,2:0 (1:0),Manager:   Mano Menezes,Manager:   Ademar Braga,2006,1
São Paulo FC,Flamengo RJ,1:0 (1:0),Manager:   Muricy Ramalho,Manager:   Waldemar Lemos,2006,1
São Caetano,Cruzeiro EC,2:1 (1:1),Manager:   Nelsinho Baptista,Manager:   Gusmão,2006,1
Botafogo RJ,Fortaleza,1:0 (1:0),Manager:   Carlos Roberto,Manager:   Jair Picerni,2006,1
Santa Cruz FC,Figueirense,0:0,Manager:   Giba,Manager:   Adilson Batista,2006,1
SE Palmeiras,Ponte Preta,2:3 (0:2),Manager:   Émerson Leão,Manager:   Vadão,2006,1
Goiás EC,Santos FC,0:0,Manager:   Geninho,Manager:   Vanderlei Luxemburgo,2006,1
Atlético Paranaense,Fluminense RJ,1:2 (0:1),Manager:   Givanildo Oliveira,Manager:   Oswaldo de Oliveira,2006,1
Corinthians SP,São Caetano,3:0 (1:0),Manager:   Ademar Braga,Manager:   Nelsinho Baptista,2006,2
Fluminense RJ,Goiás EC,1:0 (1:0),Manager:   Oswaldo de Oliveira,Manager:   Geninho,2006,2
Figueirense,SE Palmeiras,6:1 (3:1),Manager:   Adilson Batista,Manager:   Émerson Leão,2006,2
Internacional,Santa Cruz FC,1:0 (0:0),Manager:   Abel Braga,Manager:   Giba,2006,2
Santos FC,Atlético Paranaense,2:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Givanildo Oliveira,2006,2
Ponte Preta,Vasco da Gama,1:2 (0:0),Manager:   Vadão,Manager:   Renato Gaúcho,2006,2
Flamengo RJ,Juventude RS,3:1 (2:0),Manager:   Waldemar Lemos,Manager:   Hélio dos Anjos,2006,2
Cruzeiro EC,Grêmio Porto Alegre,3:1 (0:1),Manager:   Gusmão,Manager:   Mano Menezes,2006,2
Paraná Clube,Botafogo RJ,0:0,Manager:   Caio Júnior,Manager:   Carlos Roberto,2006,2
Fortaleza,São Paulo FC,1:0 (1:0),Manager:   Jair Picerni,Manager:   Muricy Ramalho,2006,2
Fortaleza,São Caetano,2:1 (0:1),Manager:   Jair Picerni,Manager:   Nelsinho Baptista,2006,3
Botafogo RJ,Atlético Paranaense,0:4 (0:1),Manager:   Carlos Roberto,Manager:   Givanildo Oliveira,2006,3
São Paulo FC,Santa Cruz FC,4:0 (0:0),Manager:   Muricy Ramalho,Manager:   Giba,2006,3
Internacional,Flamengo RJ,1:0 (0:0),Manager:   Abel Braga,Manager:   Waldemar Lemos,2006,3
Ponte Preta,Corinthians SP,3:2 (1:1),Manager:   Vadão,Manager:   Ademar Braga,2006,3
Paraná Clube,Grêmio Porto Alegre,5:2 (3:1),Manager:   Caio Júnior,Manager:   Mano Menezes,2006,3
SE Palmeiras,Santos FC,1:2 (0:0),Manager:   Marcelo Vilar,Manager:   Vanderlei Luxemburgo,2006,3
Vasco da Gama,Fluminense RJ,1:1 (1:0),Manager:   Renato Gaúcho,Manager:   Oswaldo de Oliveira,2006,3
Juventude RS,Goiás EC,1:1 (1:0),Manager:   Hélio dos Anjos,Manager:   Geninho,2006,3
Figueirense,Cruzeiro EC,0:2 (0:2),Manager:   Adilson Batista,Manager:   Gusmão,2006,3
Santa Cruz FC,Ponte Preta,1:1 (1:0),Manager:   Giba,Manager:   Vadão,2006,4
Fluminense RJ,Paraná Clube,2:1 (1:0),Manager:   Oswaldo de Oliveira,Manager:   Caio Júnior,2006,4
Santos FC,Fortaleza,2:0 (2:0),Manager:   Vanderlei Luxemburgo,Manager:   Márcio Bittencourt,2006,4
Grêmio Porto Alegre,Vasco da Gama,1:2 (1:2),Manager:   Mano Menezes,Manager:   Renato Gaúcho,2006,4
São Caetano,SE Palmeiras,2:0 (2:0),Manager:   Nelsinho Baptista,Manager:   Marcelo Vilar,2006,4
Atlético Paranaense,Internacional,1:2 (1:1),Manager:   Givanildo Oliveira,Manager:   Abel Braga,2006,4
Corinthians SP,São Paulo FC,1:3 (1:1),Manager:   Ademar Braga,Manager:   Muricy Ramalho,2006,4
Goiás EC,Figueirense,2:1 (0:0),Manager:   Geninho,Manager:   Adilson Batista,2006,4
Flamengo RJ,Botafogo RJ,1:0 (0:0),Manager:   Waldemar Lemos,Manager:   Carlos Roberto,2006,4
Cruzeiro EC,Juventude RS,2:0 (1:0),Manager:   Gusmão,Manager:   Hélio dos Anjos,2006,4
São Caetano,Juventude RS,0:2 (0:1),Manager:   Nelsinho Baptista,Manager:   Hélio dos Anjos,2006,5
Botafogo RJ,Grêmio Porto Alegre,2:2 (2:0),Manager:   Carlos Roberto,Manager:   Mano Menezes,2006,5
Santos FC,Ponte Preta,3:1 (2:0),Manager:   Vanderlei Luxemburgo,Manager:   Vadão,2006,5
Santa Cruz FC,Atlético Paranaense,1:2 (1:1),Manager:   Valdyr Espinosa,Manager:   Givanildo Oliveira,2006,5
Internacional,São Paulo FC,3:1 (1:0),Manager:   Abel Braga,Manager:   Muricy Ramalho,2006,5
Figueirense,Fluminense RJ,1:0 (0:0),Manager:   Adilson Batista,Manager:   Oswaldo de Oliveira,2006,5
SE Palmeiras,Cruzeiro EC,1:1 (0:1),Manager:   Marcelo Vilar,Manager:   Gusmão,2006,5
Flamengo RJ,Fortaleza,0:0,Manager:   Waldemar Lemos,Manager:   Márcio Bittencourt,2006,5
Paraná Clube,Corinthians SP,1:2 (0:1),Manager:   Caio Júnior,Manager:   Geninho,2006,5
Goiás EC,Vasco da Gama,2:0 (0:0),Manager:   Antônio Lopes,Manager:   Renato Gaúcho,2006,5
Atlético Paranaense,Goiás EC,2:3 (1:0),Manager:   Givanildo Oliveira,Manager:   Antônio Lopes,2006,6
Fortaleza,Paraná Clube,1:1 (0:0),Manager:   Márcio Bittencourt,Manager:   Caio Júnior,2006,6
Internacional,Figueirense,2:4 (1:2),Manager:   Abel Braga,Manager:   Adilson Batista,2006,6
São Paulo FC,São Caetano,1:0 (1:0),Manager:   Muricy Ramalho,Manager:   Nelsinho Baptista,2006,6
Vasco da Gama,Corinthians SP,2:4 (0:0),Manager:   Renato Gaúcho,Manager:   Geninho,2006,6
Cruzeiro EC,Flamengo RJ,2:1 (1:1),Manager:   Gusmão,Manager:   Waldemar Lemos,2006,6
SE Palmeiras,Santa Cruz FC,2:1 (1:1),Manager:   Tite,Manager:   Valdyr Espinosa,2006,6
Ponte Preta,Grêmio Porto Alegre,1:1 (0:0),Manager:   Vadão,Manager:   Mano Menezes,2006,6
Fluminense RJ,Santos FC,1:0 (0:0),Manager:   Oswaldo de Oliveira,Manager:   Vanderlei Luxemburgo,2006,6
Juventude RS,Botafogo RJ,1:0 (1:0),Manager:   Hélio dos Anjos,Manager:   Carlos Roberto,2006,6
Juventude RS,Santa Cruz FC,4:1 (0:0),Manager:   Hélio dos Anjos,Manager:   Valdyr Espinosa,2006,7
Paraná Clube,Figueirense,0:0,Manager:   Caio Júnior,Manager:   Adilson Batista,2006,7
Cruzeiro EC,Ponte Preta,5:1 (2:0),Manager:   Gusmão,Manager:   Vadão,2006,7
São Paulo FC,SE Palmeiras,4:1 (1:1),Manager:   Muricy Ramalho,Manager:   Tite,2006,7
São Caetano,Atlético Paranaense,2:1 (1:0),Manager:   Nelsinho Baptista,Manager:   Givanildo Oliveira,2006,7
Flamengo RJ,Santos FC,2:2 (1:2),Manager:   Ney Franco,Manager:   Vanderlei Luxemburgo,2006,7
Fortaleza,Fluminense RJ,2:5 (0:1),Manager:   Márcio Bittencourt,Manager:   Oswaldo de Oliveira,2006,7
Botafogo RJ,Vasco da Gama,4:1 (3:0),Manager:   Cuca,Manager:   Renato Gaúcho,2006,7
Grêmio Porto Alegre,Goiás EC,2:0 (2:0),Manager:   Mano Menezes,Manager:   Antônio Lopes,2006,7
Corinthians SP,Internacional,0:1 (0:1),Manager:   Geninho,Manager:   Abel Braga,2006,7
Figueirense,Fortaleza,0:0,Manager:   Adilson Batista,Manager:   Márcio Bittencourt,2006,8
Ponte Preta,Paraná Clube,2:5 (2:2),Manager:   Vadão,Manager:   Caio Júnior,2006,8
Atlético Paranaense,Juventude RS,1:0 (0:0),Manager:   Givanildo Oliveira,Manager:   Hélio dos Anjos,2006,8
Internacional,Cruzeiro EC,1:1 (1:1),Manager:   Abel Braga,Manager:   Gusmão,2006,8
Santos FC,Corinthians SP,2:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Geninho,2006,8
Santa Cruz FC,Botafogo RJ,1:1 (0:1),Manager:   Valdyr Espinosa,Manager:   Cuca,2006,8
Fluminense RJ,Flamengo RJ,1:0 (1:0),Manager:   Oswaldo de Oliveira,Manager:   Ney Franco,2006,8
Goiás EC,São Caetano,2:1 (0:0),Manager:   Antônio Lopes,Manager:   Nelsinho Baptista,2006,8
Vasco da Gama,São Paulo FC,1:1 (0:1),Manager:   Renato Gaúcho,Manager:   Muricy Ramalho,2006,8
SE Palmeiras,Grêmio Porto Alegre,0:1 (0:1),Manager:   Tite,Manager:   Mano Menezes,2006,8
Juventude RS,Ponte Preta,0:1 (0:1),Manager:   Hélio dos Anjos,Manager:   Marco Aurélio,2006,9
Cruzeiro EC,Atlético Paranaense,1:1 (1:0),Manager:   Gusmão,Manager:   Givanildo Oliveira,2006,9
Fortaleza,Vasco da Gama,1:1 (1:0),Manager:   Márcio Bittencourt,Manager:   Renato Gaúcho,2006,9
São Caetano,Internacional,1:1 (1:1),Manager:   Nelsinho Baptista,Manager:   Abel Braga,2006,9
Flamengo RJ,SE Palmeiras,2:1 (0:0),Manager:   Ney Franco,Manager:   Tite,2006,9
Grêmio Porto Alegre,Santos FC,1:0 (1:0),Manager:   Mano Menezes,Manager:   Vanderlei Luxemburgo,2006,9
