team_1,team_2,score,manager_1,manager_2,season,game_week,team_1_score,team_2_score
Juventude RS,Paraná Clube,1-0,Hélio dos Anjos,Caio Júnior,2006,1,1,0
Vasco da Gama,Internacional,1-1,Renato Gaúcho,Abel Braga,2006,1,1,1
Grêmio Porto Alegre,Corinthians SP,2-0,Mano Menezes,Ademar Braga,2006,1,2,0
São Paulo FC,Flamengo RJ,1-0,Muricy Ramalho,Waldemar Lemos,2006,1,1,0
São Caetano,Cruzeiro EC,2-1,Nelsinho Baptista,Gusmão,2006,1,2,1
Botafogo RJ,Fortaleza,1-0,Carlos Roberto,Jair Picerni,2006,1,1,0
Santa Cruz FC,Figueirense,0-0,Giba,Adilson Batista,2006,1,0,0
SE Palmeiras,Ponte Preta,2-3,Émerson Leão,Vadão,2006,1,2,3
Goiás EC,Santos FC,0-0,Geninho,Vanderlei Luxemburgo,2006,1,0,0
Atlético Paranaense,Fluminense RJ,1-2,Givanildo Oliveira,Oswaldo de Oliveira,2006,1,1,2
Corinthians SP,São Caetano,3-0,Ademar Braga,Nelsinho Baptista,2006,2,3,0
Fluminense RJ,Goiás EC,1-0,Oswaldo de Oliveira,Geninho,2006,2,1,0
Figueirense,SE Palmeiras,6-1,Adilson Batista,Émerson Leão,2006,2,6,1
Internacional,Santa Cruz FC,1-0,Abel Braga,Giba,2006,2,1,0
Santos FC,Atlético Paranaense,2-0,Vanderlei Luxemburgo,Givanildo Oliveira,2006,2,2,0
Ponte Preta,Vasco da Gama,1-2,Vadão,Renato Gaúcho,2006,2,1,2
Flamengo RJ,Juventude RS,3-1,Waldemar Lemos,Hélio dos Anjos,2006,2,3,1
Cruzeiro EC,Grêmio Porto Alegre,3-1,Gusmão,Mano Menezes,2006,2,3,1
Paraná Clube,Botafogo RJ,0-0,Caio Júnior,Carlos Roberto,2006,2,0,0
Fortaleza,São Paulo FC,1-0,Jair Picerni,Muricy Ramalho,2006,2,1,0
Fortaleza,São Caetano,2-1,Jair Picerni,Nelsinho Baptista,2006,3,2,1
Botafogo RJ,Atlético Paranaense,0-4,Carlos Roberto,Givanildo Oliveira,2006,3,0,4
São Paulo FC,Santa Cruz FC,4-0,Muricy Ramalho,Giba,2006,3,4,0
Internacional,Flamengo RJ,1-0,Abel Braga,Waldemar Lemos,2006,3,1,0
Ponte Preta,Corinthians SP,3-2,Vadão,Ademar Braga,2006,3,3,2
Paraná Clube,Grêmio Porto Alegre,5-2,Caio Júnior,Mano Menezes,2006,3,5,2
SE Palmeiras,Santos FC,1-2,Marcelo Vilar,Vanderlei Luxemburgo,2006,3,1,2
Vasco da Gama,Fluminense RJ,1-1,Renato Gaúcho,Oswaldo de Oliveira,2006,3,1,1
Juventude RS,Goiás EC,1-1,Hélio dos Anjos,Geninho,2006,3,1,1
Figueirense,Cruzeiro EC,0-2,Adilson Batista,Gusmão,2006,3,0,2
Santa Cruz FC,Ponte Preta,1-1,Giba,Vadão,2006,4,1,1
Fluminense RJ,Paraná Clube,2-1,Oswaldo de Oliveira,Caio Júnior,2006,4,2,1
Santos FC,Fortaleza,2-0,Vanderlei Luxemburgo,Márcio Bittencourt,2006,4,2,0
Grêmio Porto Alegre,Vasco da Gama,1-2,Mano Menezes,Renato Gaúcho,2006,4,1,2
São Caetano,SE Palmeiras,2-0,Nelsinho Baptista,Marcelo Vilar,2006,4,2,0
Atlético Paranaense,Internacional,1-2,Givanildo Oliveira,Abel Braga,2006,4,1,2
Corinthians SP,São Paulo FC,1-3,Ademar Braga,Muricy Ramalho,2006,4,1,3
Goiás EC,Figueirense,2-1,Geninho,Adilson Batista,2006,4,2,1
Flamengo RJ,Botafogo RJ,1-0,Waldemar Lemos,Carlos Roberto,2006,4,1,0
Cruzeiro EC,Juventude RS,2-0,Gusmão,Hélio dos Anjos,2006,4,2,0
São Caetano,Juventude RS,0-2,Nelsinho Baptista,Hélio dos Anjos,2006,5,0,2
Botafogo RJ,Grêmio Porto Alegre,2-2,Carlos Roberto,Mano Menezes,2006,5,2,2
Santos FC,Ponte Preta,3-1,Vanderlei Luxemburgo,Vadão,2006,5,3,1
Santa Cruz FC,Atlético Paranaense,1-2,Valdyr Espinosa,Givanildo Oliveira,2006,5,1,2
Internacional,São Paulo FC,3-1,Abel Braga,Muricy Ramalho,2006,5,3,1
Figueirense,Fluminense RJ,1-0,Adilson Batista,Oswaldo de Oliveira,2006,5,1,0
SE Palmeiras,Cruzeiro EC,1-1,Marcelo Vilar,Gusmão,2006,5,1,1
Flamengo RJ,Fortaleza,0-0,Waldemar Lemos,Márcio Bittencourt,2006,5,0,0
Paraná Clube,Corinthians SP,1-2,Caio Júnior,Geninho,2006,5,1,2
Goiás EC,Vasco da Gama,2-0,Antônio Lopes,Renato Gaúcho,2006,5,2,0
Atlético Paranaense,Goiás EC,2-3,Givanildo Oliveira,Antônio Lopes,2006,6,2,3
Fortaleza,Paraná Clube,1-1,Márcio Bittencourt,Caio Júnior,2006,6,1,1
Internacional,Figueirense,2-4,Abel Braga,Adilson Batista,2006,6,2,4
São Paulo FC,São Caetano,1-0,Muricy Ramalho,Nelsinho Baptista,2006,6,1,0
Vasco da Gama,Corinthians SP,2-4,Renato Gaúcho,Geninho,2006,6,2,4
Cruzeiro EC,Flamengo RJ,2-1,Gusmão,Waldemar Lemos,2006,6,2,1
SE Palmeiras,Santa Cruz FC,2-1,Tite,Valdyr Espinosa,2006,6,2,1
Ponte Preta,Grêmio Porto Alegre,1-1,Vadão,Mano Menezes,2006,6,1,1
Fluminense RJ,Santos FC,1-0,Oswaldo de Oliveira,Vanderlei Luxemburgo,2006,6,1,0
Juventude RS,Botafogo RJ,1-0,Hélio dos Anjos,Carlos Roberto,2006,6,1,0
Juventude RS,Santa Cruz FC,4-1,Hélio dos Anjos,Valdyr Espinosa,2006,7,4,1
Paraná Clube,Figueirense,0-0,Caio Júnior,Adilson Batista,2006,7,0,0
Cruzeiro EC,Ponte Preta,5-1,Gusmão,Vadão,2006,7,5,1
São Paulo FC,SE Palmeiras,4-1,Muricy Ramalho,Tite,2006,7,4,1
São Caetano,Atlético Paranaense,2-1,Nelsinho Baptista,Givanildo Oliveira,2006,7,2,1
Flamengo RJ,Santos FC,2-2,Ney Franco,Vanderlei Luxemburgo,2006,7,2,2
Fortaleza,Fluminense RJ,2-5,Márcio Bittencourt,Oswaldo de Oliveira,2006,7,2,5
Botafogo RJ,Vasco da Gama,4-1,Cuca,Renato Gaúcho,2006,7,4,1
Grêmio Porto Alegre,Goiás EC,2-0,Mano Menezes,Antônio Lopes,2006,7,2,0
Corinthians SP,Internacional,0-1,Geninho,Abel Braga,2006,7,0,1
Figueirense,Fortaleza,0-0,Adilson Batista,Márcio Bittencourt,2006,8,0,0
Ponte Preta,Paraná Clube,2-5,Vadão,Caio Júnior,2006,8,2,5
Atlético Paranaense,Juventude RS,1-0,Givanildo Oliveira,Hélio dos Anjos,2006,8,1,0
Internacional,Cruzeiro EC,1-1,Abel Braga,Gusmão,2006,8,1,1
Santos FC,Corinthians SP,2-0,Vanderlei Luxemburgo,Geninho,2006,8,2,0
Santa Cruz FC,Botafogo RJ,1-1,Valdyr Espinosa,Cuca,2006,8,1,1
Fluminense RJ,Flamengo RJ,1-0,Oswaldo de Oliveira,Ney Franco,2006,8,1,0
Goiás EC,São Caetano,2-1,Antônio Lopes,Nelsinho Baptista,2006,8,2,1
Vasco da Gama,São Paulo FC,1-1,Renato Gaúcho,Muricy Ramalho,2006,8,1,1
SE Palmeiras,Grêmio Porto Alegre,0-1,Tite,Mano Menezes,2006,8,0,1
Juventude RS,Ponte Preta,0-1,Hélio dos Anjos,Marco Aurélio,2006,9,0,1
Cruzeiro EC,Atlético Paranaense,1-1,Gusmão,Givanildo Oliveira,2006,9,1,1
Fortaleza,Vasco da Gama,1-1,Márcio Bittencourt,Renato Gaúcho,2006,9,1,1
São Caetano,Internacional,1-1,Nelsinho Baptista,Abel Braga,2006,9,1,1
Flamengo RJ,SE Palmeiras,2-1,Ney Franco,Tite,2006,9,2,1
Grêmio Porto Alegre,Santos FC,1-0,Mano Menezes,Vanderlei Luxemburgo,2006,9,1,0
São Paulo FC,Fluminense RJ,1-0,Muricy Ramalho,Oswaldo de Oliveira,2006,9,1,0
Paraná Clube,Santa Cruz FC,3-0,Caio Júnior,Valdyr Espinosa,2006,9,3,0
Botafogo RJ,Figueirense,2-3,Cuca,Adilson Batista,2006,9,2,3
Corinthians SP,Goiás EC,0-1,Geninho,Antônio Lopes,2006,9,0,1
Fluminense RJ,Internacional,2-3,Oswaldo de Oliveira,Abel Braga,2006,10,2,3
Fortaleza,Cruzeiro EC,0-2,Márcio Bittencourt,Gusmão,2006,10,0,2
Grêmio Porto Alegre,São Caetano,1-1,Mano Menezes,Émerson Leão,2006,10,1,1
Atlético Paranaense,SE Palmeiras,2-0,Givanildo Oliveira,Tite,2006,10,2,0
Vasco da Gama,Santa Cruz FC,2-1,Renato Gaúcho,Valdyr Espinosa,2006,10,2,1
Corinthians SP,Flamengo RJ,0-2,Geninho,Ney Franco,2006,10,0,2
Ponte Preta,Figueirense,3-0,Marco Aurélio,Adilson Batista,2006,10,3,0
Goiás EC,Paraná Clube,1-2,Antônio Lopes,Caio Júnior,2006,10,1,2
Juventude RS,São Paulo FC,1-1,Hélio dos Anjos,Muricy Ramalho,2006,10,1,1
Santos FC,Botafogo RJ,0-0,Vanderlei Luxemburgo,Cuca,2006,10,0,0
Internacional,Ponte Preta,2-0,Abel Braga,Marco Aurélio,2006,11,2,0
Atlético Paranaense,Fortaleza,0-0,Givanildo Oliveira,Hélio dos Anjos,2006,11,0,0
Fluminense RJ,Juventude RS,3-2,Oswaldo de Oliveira,Ivo Wortmann,2006,11,3,2
São Paulo FC,Grêmio Porto Alegre,2-1,Muricy Ramalho,Mano Menezes,2006,11,2,1
Figueirense,Santos FC,2-1,Waldemar Lemos,Vanderlei Luxemburgo,2006,11,2,1
São Caetano,Botafogo RJ,1-1,Émerson Leão,Cuca,2006,11,1,1
Cruzeiro EC,Corinthians SP,2-0,Gusmão,Geninho,2006,11,2,0
Santa Cruz FC,Goiás EC,2-1,Mauricio Simões,Antônio Lopes,2006,11,2,1
Flamengo RJ,Paraná Clube,1-4,Ney Franco,Caio Júnior,2006,11,1,4
SE Palmeiras,Vasco da Gama,4-2,Tite,Renato Gaúcho,2006,11,4,2
Botafogo RJ,Ponte Preta,4-1,Cuca,Marco Aurélio,2006,12,4,1
São Paulo FC,Figueirense,2-1,Muricy Ramalho,Waldemar Lemos,2006,12,2,1
Grêmio Porto Alegre,Fluminense RJ,4-4,Mano Menezes,Oswaldo de Oliveira,2006,12,4,4
São Caetano,Santos FC,2-0,Émerson Leão,Vanderlei Luxemburgo,2006,12,2,0
Cruzeiro EC,Goiás EC,0-0,Gusmão,Antônio Lopes,2006,12,0,0
SE Palmeiras,Corinthians SP,1-0,Tite,Geninho,2006,12,1,0
Flamengo RJ,Vasco da Gama,0-1,Ney Franco,Renato Gaúcho,2006,12,0,1
Juventude RS,Internacional,2-0,Ivo Wortmann,Abel Braga,2006,12,2,0
Paraná Clube,Atlético Paranaense,2-1,Caio Júnior,Givanildo Oliveira,2006,12,2,1
Fortaleza,Santa Cruz FC,1-4,Hélio dos Anjos,Mauricio Simões,2006,12,1,4
Figueirense,Grêmio Porto Alegre,2-0,Waldemar Lemos,Mano Menezes,2006,13,2,0
Paraná Clube,Cruzeiro EC,1-0,Caio Júnior,Gusmão,2006,13,1,0
Corinthians SP,Fortaleza,2-2,Geninho,Hélio dos Anjos,2006,13,2,2
Fluminense RJ,São Caetano,2-2,Oswaldo de Oliveira,Émerson Leão,2006,13,2,2
Ponte Preta,São Paulo FC,1-3,Marco Aurélio,Muricy Ramalho,2006,13,1,3
Vasco da Gama,Atlético Paranaense,2-1,Renato Gaúcho,Vadão,2006,13,2,1
Santa Cruz FC,Flamengo RJ,3-0,Mauricio Simões,Ney Franco,2006,13,3,0
Santos FC,Juventude RS,3-2,Vanderlei Luxemburgo,Ivo Wortmann,2006,13,3,2
Internacional,Botafogo RJ,0-0,Abel Braga,Cuca,2006,13,0,0
Goiás EC,SE Palmeiras,1-3,Antônio Lopes,Tite,2006,13,1,3
Juventude RS,Figueirense,1-0,Ivo Wortmann,Waldemar Lemos,2006,14,1,0
São Caetano,Ponte Preta,1-1,Émerson Leão,Marco Aurélio,2006,14,1,1
SE Palmeiras,Paraná Clube,4-2,Tite,Caio Júnior,2006,14,4,2
Atlético Paranaense,Flamengo RJ,1-0,Vadão,Ney Franco,2006,14,1,0
Vasco da Gama,Cruzeiro EC,1-0,Renato Gaúcho,Gusmão,2006,14,1,0
Santa Cruz FC,Corinthians SP,1-0,Mauricio Simões,Geninho,2006,14,1,0
São Paulo FC,Santos FC,0-4,Muricy Ramalho,Vanderlei Luxemburgo,2006,14,0,4
Fluminense RJ,Botafogo RJ,1-1,Oswaldo de Oliveira,Cuca,2006,14,1,1
Internacional,Grêmio Porto Alegre,0-0,Abel Braga,Mano Menezes,2006,14,0,0
Goiás EC,Fortaleza,1-1,Antônio Lopes,Hélio dos Anjos,2006,14,1,1
Grêmio Porto Alegre,Juventude RS,1-0,Mano Menezes,Ivo Wortmann,2006,15,1,0
Figueirense,São Caetano,1-1,Waldemar Lemos,Émerson Leão,2006,15,1,1
Flamengo RJ,Goiás EC,1-0,Ney Franco,Antônio Lopes,2006,15,1,0
