"","url.x","home_team","away_team","score","competition","full_date","isGoal","isHeader","shotLocation","shooting_team","shooting_opp","shooter","shot_assister"
"780","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,TRUE,FALSE,"Pen","Liverpool","Southampton","Steven Gerrard","NaN"
"786","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Southampton","Liverpool","Morgan Schneiderlin","NaN"
"820","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Southampton","Liverpool","Jay Rodriguez","Luke Shaw"
"830","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Liverpool","Southampton","Luis Suarez","Jordan Henderson"
"832","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Liverpool","Southampton","Jordan Henderson","NaN"
"838","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Liverpool","Southampton","Steven Gerrard","Raheem Sterling"
"840","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Liverpool","Southampton","Jordan Henderson","Joe Allen"
"852","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Liverpool","Southampton","Daniel Sturridge","Luis Suarez"
"858","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,TRUE,FALSE,"Central","Liverpool","Southampton","Raheem Sterling","Luis Suarez"
"874","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Southampton","Liverpool","Adam Lallana","Rickie Lambert"
"876","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Liverpool","Southampton","Steven Gerrard","NaN"
"878","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Southampton","Liverpool","Jay Rodriguez","Adam Lallana"
"880","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,TRUE,"Close","Southampton","Liverpool","Morgan Schneiderlin","Adam Lallana"
"884","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Southampton","Liverpool","Gastón Ramírez","Adam Lallana"
"900","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Jay Rodriguez","Luke Shaw"
"902","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Southampton","Liverpool","Morgan Schneiderlin","Adam Lallana"
"904","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Liverpool","Southampton","Luis Suarez","Daniel Sturridge"
"906","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Southampton","Liverpool","Jay Rodriguez","Rickie Lambert"
"908","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Adam Lallana","Luke Shaw"
"910","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Adam Lallana","Rickie Lambert"
"912","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Dejan Lovren","Steven Davis"
"918","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Rickie Lambert","Luke Shaw"
"920","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Liverpool","Southampton","Luis Suarez","NaN"
"928","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,TRUE,FALSE,"Central","Liverpool","Southampton","Luis Suarez","NaN"
"934","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Liverpool","Southampton","Philippe Coutinho","NaN"
