GW,Home,Away,xG_H,xG_A
1,Bayern,Hamburg,2.54,0.17
1,Wolfsburg,Frankfurt,0.91,1.18
1,Leverkusen,Hoffenheim,2.57,0.26
1,Augsburg,Berlin,1.23,0.76
1,Dortmund,Gladbach,1.81,0.22
1,Bremen,Schalke,0.50,1.31
1,Mainz,Ingolstadt,0.92,1.37
1,Stuttgart,Köln,2.07,1.02
1,Darmstadt,Hannover,1.48,1.17
2,Gladbach,Mainz,1.06,1.72
2,Schalke,Darmstadt,1.56,0.64
2,Hoffenheim,Bayern,0.41,4.12
2,Frankfurt,Augsburg,0.92,1.14
2,Köln,Wolfsburg,1.72,2.33
2,Hannover,Leverkusen,0.26,0.76
2,Berlin,Bremen,0.59,1.06
2,Hamburg,Stuttgart,1.50,1.14
2,Ingolstadt,Dortmund,0.32,2.39
3,Bayern,Leverkusen,2.24,0.54
3,Wolfsburg,Schalke,1.05,0.17
3,Augsburg,Ingolstadt,0.26,0.76
3,Dortmund,Berlin,2.14,1.22
3,Bremen,Gladbach,1.25,1.18
3,Mainz,Hannover,1.81,0.80
3,Köln,Hamburg,1.11,1.26
3,Stuttgart,Frankfurt,1.28,1.34
3,Darmstadt,Hoffenheim,0.17,1.02
4,Bayern,Augsburg,3.13,0.41
4,Gladbach,Hamburg,0.31,1.69
4,Leverkusen,Darmstadt,0.92,0.70
4,Schalke,Mainz,1.00,1.45
4,Hoffenheim,Bremen,0.85,1.27
4,Frankfurt,Köln,2.76,1.46
4,Hannover,Dortmund,1.05,0.82
4,Berlin,Stuttgart,0.82,0.45
4,Ingolstadt,Wolfsburg,0.09,0.43
5,Wolfsburg,Berlin,1.24,0.84
5,Augsburg,Hannover,1.45,0.18
5,Dortmund,Leverkusen,2.64,0.92
5,Bremen,Ingolstadt,0.90,0.59
5,Mainz,Hoffenheim,1.40,1.33
5,Köln,Gladbach,1.44,0.18
5,Stuttgart,Schalke,2.34,1.60
5,Hamburg,Frankfurt,0.50,0.82
5,Darmstadt,Bayern,0.23,1.92
6,Bayern,Wolfsburg,4.33,0.26
