"Home","Score","Away","Round"
"Sao Bento","1 - 0","Sao Paulo",15
"Santos","2 - 1","Osasco Audax",15
"Botafogo SP","2 - 0","Capivariano",15
"Oeste","1 - 1","XV de Piracicaba",15
"Linense","0 - 0","Ferroviaria",15
"Corinthians","3 - 0","Novorizontino",15
"Mogi Mirim","1 - 2","Palmeiras",15
"Rio Claro","0 - 1","Ponte Preta",15
"RB Brasil","1 - 3","Ituano",15
"Agua Santa","0 - 1","Sao Bernardo FC",15
"Osasco Audax","2 - 1","Sao Bento",14
"Ponte Preta","7 - 2","Agua Santa",14
"Sao Paulo","2 - 1","Oeste",14
"XV de Piracicaba","1 - 1","Linense",14
"Palmeiras","1 - 0","Corinthians",14
"Sao Bernardo FC","3 - 2","RB Brasil",14
"Capivariano","3 - 5","Santos",14
"Ferroviaria","0 - 1","Botafogo SP",14
"Novorizontino","2 - 0","Rio Claro",14
"Ituano","0 - 1","Mogi Mirim",14
"Agua Santa","0 - 0","Ituano",13
"XV de Piracicaba","1 - 1","Botafogo SP",13
"Linense","1 - 1","Sao Paulo",13
"Oeste","1 - 3","Osasco Audax",13
"Capivariano","1 - 1","Sao Bento",13
"Corinthians","2 - 1","Ponte Preta",13
"Sao Bernardo FC","1 - 1","Mogi Mirim",13
"Palmeiras","3 - 0","Rio Claro",13
"RB Brasil","2 - 0","Novorizontino",13
"Santos","4 - 1","Ferroviaria",13
"Ferroviaria","2 - 0","Oeste",12
"Rio Claro","1 - 4","Sao Bernardo FC",12
"Botafogo SP","1 - 1","Osasco Audax",12
"Linense","5 - 0","Capivariano",12
"Corinthians","1 - 0","Ituano",12
"Sao Bento","1 - 0","XV de Piracicaba",12
"Agua Santa","4 - 1","Palmeiras",12
"Santos","1 - 1","Sao Paulo",12
"RB Brasil","0 - 3","Ponte Preta",12
"Mogi Mirim","0 - 3","Novorizontino",12
"XV de Piracicaba","0 - 1","Santos",11
"Oeste","1 - 2","Capivariano",11
"Osasco Audax","0 - 0","Linense",11
"Ponte Preta","0 - 1","Mogi Mirim",11
"Ituano","2 - 1","Rio Claro",11
"Sao Bento","1 - 0","Ferroviaria",11
"Sao Bernardo FC","0 - 3","Corinthians",11
"Sao Paulo","1 - 0","Botafogo SP",11
"Palmeiras","1 - 2","RB Brasil",11
"Novorizontino","4 - 0","Agua Santa",11
"Agua Santa","1 - 1","Botafogo SP",10
"Corinthians","4 - 0","Linense",10
"Novorizontino","1 - 1","XV de Piracicaba",10
