team,competition,group,points
Chelsea FC,eng-premier-league,1,14
AFC Bournemouth,eng-premier-league,1,13
Arsenal FC,eng-premier-league,1,11
Watford FC,eng-premier-league,1,11
Stoke City,eng-premier-league,1,7
Tottenham Hotspur,eng-premier-league,2,16
Manchester United,eng-premier-league,2,15
West Bromwich Albion,eng-premier-league,2,12
Newcastle United,eng-premier-league,2,8
Crystal Palace,eng-premier-league,2,5
Manchester City,eng-premier-league,3,22
Brighton & Hove Albion,eng-premier-league,3,13
Everton FC,eng-premier-league,3,12
West Ham United,eng-premier-league,3,6
Swansea City,eng-premier-league,3,4
Liverpool FC,eng-premier-league,4,22
Leicester City,eng-premier-league,4,11
Burnley FC,eng-premier-league,4,10
Huddersfield Town,eng-premier-league,4,5
Southampton FC,eng-premier-league,4,4
Sheffield Wednesday,eng-championship,1,17
Bristol City,eng-championship,1,17
Derby County,eng-championship,1,16
Aston Villa,eng-championship,1,16
Hull City,eng-championship,1,8
Nottingham Forest,eng-championship,1,5
Fulham FC,eng-championship,2,21
Middlesbrough FC,eng-championship,2,16
Sheffield United,eng-championship,2,13
Brentford FC,eng-championship,2,12
Barnsley FC,eng-championship,2,9
Queens Park Rangers,eng-championship,2,9
Wolverhampton Wanderers,eng-championship,3,23
Preston North End,eng-championship,3,17
Leeds United,eng-championship,3,14
Birmingham City,eng-championship,3,12
Sunderland AFC,eng-championship,3,8
Bolton Wanderers,eng-championship,3,6
Cardiff City,eng-championship,4,22
Norwich City,eng-championship,4,15
Ipswich Town,eng-championship,4,15
Millwall FC,eng-championship,4,15
Burton Albion,eng-championship,4,9
Reading FC,eng-championship,4,5
Blackburn Rovers,eng-league-one,1,20
Charlton Athletic,eng-league-one,1,19
Portsmouth FC,eng-league-one,1,16
Oldham Athletic,eng-league-one,1,12
Fleetwood Town,eng-league-one,1,10
Rochdale AFC,eng-league-one,1,6
Wigan Athletic,eng-league-one,2,20
Shrewsbury Town,eng-league-one,2,16
Plymouth Argyle,eng-league-one,2,16
Bradford City,eng-league-one,2,12
Bristol Rovers,eng-league-one,2,11
Walsall FC,eng-league-one,2,7
Rotherham United,eng-league-one,3,17
Southend United,eng-league-one,3,15
Peterborough United,eng-league-one,3,15
AFC Wimbledon,eng-league-one,3,13
Doncaster Rovers,eng-league-one,3,12
Bury FC,eng-league-one,3,6
Scunthorpe United,eng-league-one,4,17
Northampton Town,eng-league-one,4,15
Blackpool FC,eng-league-one,4,15
Oxford United,eng-league-one,4,13
Milton Keynes Dons,eng-league-one,4,10
Gillingham FC,eng-league-one,4,9
Accrington Stanley,eng-league-two,1,25
Luton Town,eng-league-two,1,17
Wycombe Wanderers,eng-league-two,1,17
Cheltenham Town,eng-league-two,1,10
Port Vale FC,eng-league-two,1,8
Crewe Alexandra,eng-league-two,1,7
Exeter City,eng-league-two,2,19
Newport County,eng-league-two,2,17
Stevenage FC,eng-league-two,2,15
Morecambe FC,eng-league-two,2,13
Swindon Town,eng-league-two,2,11
Grimsby Town,eng-league-two,2,8
Coventry City,eng-league-two,3,20
Lincoln City,eng-league-two,3,16
Cambridge United,eng-league-two,3,15
Carlisle United,eng-league-two,3,12
Crawley Town,eng-league-two,3,12
Barnet FC,eng-league-two,3,6
Notts County,eng-league-two,4,18
Mansfield Town,eng-league-two,4,16
Colchester United,eng-league-two,4,15
Chesterfield FC,eng-league-two,4,12
Forest Green Rovers,eng-league-two,4,11
Yeovil Town,eng-league-two,4,9
