points,coach,scored,allowed,xg,xga
3,Rodgers,1,0,0.7,0.11
3,Rodgers,1,0,1.26,0.43
1,Rodgers,0,0,1.69,1.23
0,Rodgers,0,3,0.11,1.15
0,Rodgers,1,3,1.64,1.45
1,Rodgers,1,1,1.39,0.85
3,Rodgers,3,2,2.76,1.5
1,Rodgers,1,1,1.7,1.34
1,Klopp,0,0,0.42,0.99
1,Klopp,1,1,0.46,1.56
3,Klopp,3,1,1.97,0.6
0,Klopp,1,2,1.18,1.25
3,Klopp,4,1,3.09,0.56
3,Klopp,1,0,0.82,0
0,Klopp,0,2,0.34,0.34
1,Klopp,2,2,1.61,1.06
0,Klopp,0,3,1.44,1.98
3,Klopp,1,0,1.06,1
3,Klopp,1,0,1.69,0.98
0,Klopp,0,2,1.54,4.25
1,Klopp,3,3,1.02,1.8
0,Klopp,0,1,0.66,0.49
3,Klopp,5,4,1.96,0.98
0,Klopp,0,2,0.68,1.68
1,Klopp,2,2,1.8,0.45
3,Klopp,6,0,3.47,0.12
